﻿REF_DATE,CPI
1956-01,14.2
1956-02,14.1
1956-03,14.1
1956-04,14.1
1956-05,14.1
1956-06,14.3
1956-07,14.4
1956-08,14.5
1956-09,14.4
1956-10,14.5
1956-11,14.6
1956-12,14.6
1957-01,14.6
1957-02,14.6
1957-03,14.6
1957-04,14.7
1957-05,14.7
1957-06,14.8
1957-07,14.8
1957-08,14.9
1957-09,15.0
1957-10,15.0
1957-11,15.0
1957-12,14.9
1958-01,15.0
1958-02,15.0
1958-03,15.1
1958-04,15.1
1958-05,15.1
1958-06,15.1
1958-07,15.1
1958-08,15.1
1958-09,15.3
1958-10,15.3
1958-11,15.3
1958-12,15.3
1959-01,15.3
1959-02,15.3
1959-03,15.2
1959-04,15.2
1959-05,15.3
1959-06,15.1
1959-07,15.3
1959-08,15.3
1959-09,15.5
1959-10,15.5
1959-11,15.5
1959-12,15.5
1960-01,15.5
1960-02,15.5
1960-03,15.4
1960-04,15.5
1960-05,15.5
1960-06,15.5
1960-07,15.5
1960-08,15.5
1960-09,15.5
1960-10,15.7
1960-11,15.7
1960-12,15.7
1961-01,15.7
1961-02,15.7
1961-03,15.7
1961-04,15.7
1961-05,15.7
1961-06,15.7
1961-07,15.7
1961-08,15.7
1961-09,15.7
1961-10,15.7
1961-11,15.7
1961-12,15.7
1962-01,15.7
1962-02,15.7
1962-03,15.7
1962-04,15.8
1962-05,15.8
1962-06,15.9
1962-07,15.9
1962-08,16.0
1962-09,15.9
1962-10,16.0
1962-11,16.0
1962-12,16.0
1963-01,16.0
1963-02,16.0
1963-03,16.0
1963-04,16.0
1963-05,16.0
1963-06,16.0
1963-07,16.2
1963-08,16.3
1963-09,16.2
1963-10,16.2
1963-11,16.3
1963-12,16.3
1964-01,16.3
1964-02,16.3
1964-03,16.3
1964-04,16.4
1964-05,16.4
1964-06,16.4
1964-07,16.5
1964-08,16.5
1964-09,16.5
1964-10,16.5
1964-11,16.5
1964-12,16.6
1965-01,16.6
1965-02,16.6
1965-03,16.6
1965-04,16.7
1965-05,16.7
1965-06,16.9
1965-07,16.9
1965-08,16.9
1965-09,16.9
1965-10,16.9
1965-11,17.0
1965-12,17.1
1966-01,17.1
1966-02,17.2
1966-03,17.3
1966-04,17.4
1966-05,17.4
1966-06,17.5
1966-07,17.5
1966-08,17.6
1966-09,17.6
1966-10,17.6
1966-11,17.6
1966-12,17.7
1967-01,17.7
1967-02,17.7
1967-03,17.8
1967-04,17.9
1967-05,18.0
1967-06,18.1
1967-07,18.2
1967-08,18.3
1967-09,18.3
1967-10,18.3
1967-11,18.3
1967-12,18.4
1968-01,18.5
1968-02,18.5
1968-03,18.6
1968-04,18.6
1968-05,18.6
1968-06,18.7
1968-07,18.9
1968-08,19.0
1968-09,19.0
1968-10,19.0
1968-11,19.2
1968-12,19.2
1969-01,19.2
1969-02,19.2
1969-03,19.3
1969-04,19.6
1969-05,19.6
1969-06,19.7
1969-07,19.8
1969-08,19.9
1969-09,19.9
1969-10,19.9
1969-11,19.9
1969-12,20.1
1970-01,20.2
1970-02,20.2
1970-03,20.2
1970-04,20.3
1970-05,20.3
1970-06,20.3
1970-07,20.5
1970-08,20.5
1970-09,20.4
1970-10,20.4
1970-11,20.4
1970-12,20.3
1971-01,20.4
1971-02,20.5
1971-03,20.5
1971-04,20.7
1971-05,20.7
1971-06,20.8
1971-07,21.0
1971-08,21.2
1971-09,21.1
1971-10,21.2
1971-11,21.2
1971-12,21.3
1972-01,21.4
1972-02,21.5
1972-03,21.6
1972-04,21.7
1972-05,21.7
1972-06,21.7
1972-07,22.0
1972-08,22.2
1972-09,22.3
1972-10,22.3
1972-11,22.3
1972-12,22.4
1973-01,22.6
1973-02,22.8
1973-03,22.8
1973-04,23.1
1973-05,23.2
1973-06,23.4
1973-07,23.7
1973-08,24.0
1973-09,24.1
1973-10,24.2
1973-11,24.4
1973-12,24.5
1974-01,24.7
1974-02,24.9
1974-03,25.2
1974-04,25.4
1974-05,25.9
1974-06,26.1
1974-07,26.3
1974-08,26.6
1974-09,26.8
1974-10,27.1
1974-11,27.3
1974-12,27.6
1975-01,27.6
1975-02,27.9
1975-03,28.0
1975-04,28.2
1975-05,28.5
1975-06,28.8
1975-07,29.2
1975-08,29.5
1975-09,29.6
1975-10,29.8
1975-11,30.1
1975-12,30.2
1976-01,30.3
1976-02,30.5
1976-03,30.6
1976-04,30.7
1976-05,30.9
1976-06,31.1
1976-07,31.3
1976-08,31.3
1976-09,31.5
1976-10,31.7
1976-11,31.8
1976-12,31.9
1977-01,32.2
1977-02,32.4
1977-03,32.8
1977-04,33.0
1977-05,33.4
1977-06,33.5
1977-07,33.9
1977-08,33.9
1977-09,34.2
1977-10,34.5
1977-11,34.7
1977-12,34.9
1978-01,35.1
1978-02,35.4
1978-03,35.7
1978-04,35.8
1978-05,36.3
1978-06,36.6
1978-07,37.1
1978-08,37.2
1978-09,37.1
1978-10,37.6
1978-11,37.8
1978-12,37.9
1979-01,38.1
1979-02,38.6
1979-03,39.0
1979-04,39.3
1979-05,39.7
1979-06,39.9
1979-07,40.2
1979-08,40.3
1979-09,40.7
1979-10,41.0
1979-11,41.4
1979-12,41.6
1980-01,41.8
1980-02,42.3
1980-03,42.6
1980-04,42.9
1980-05,43.4
1980-06,43.9
1980-07,44.2
1980-08,44.7
1980-09,45.0
1980-10,45.4
1980-11,46.0
1980-12,46.2
1981-01,46.9
1981-02,47.4
1981-03,48.0
1981-04,48.3
1981-05,48.7
1981-06,49.5
1981-07,49.9
1981-08,50.3
1981-09,50.7
1981-10,51.2
1981-11,51.6
1981-12,51.8
1982-01,52.2
1982-02,52.8
1982-03,53.5
1982-04,53.8
1982-05,54.5
1982-06,55.1
1982-07,55.4
1982-08,55.6
1982-09,55.9
1982-10,56.3
1982-11,56.6
1982-12,56.6
1983-01,56.5
1983-02,56.8
1983-03,57.4
1983-04,57.4
1983-05,57.5
1983-06,58.1
1983-07,58.4
1983-08,58.7
1983-09,58.7
1983-10,59.1
1983-11,59.1
1983-12,59.2
1984-01,59.6
1984-02,59.9
1984-03,60.0
1984-04,60.2
1984-05,60.2
1984-06,60.6
1984-07,60.8
1984-08,60.8
1984-09,60.9
1984-10,61.1
1984-11,61.4
1984-12,61.4
1985-01,61.7
1985-02,62.1
1985-03,62.2
1985-04,62.5
1985-05,62.7
1985-06,63.0
1985-07,63.3
1985-08,63.3
1985-09,63.4
1985-10,63.6
1985-11,63.8
1985-12,64.1
1986-01,64.4
1986-02,64.7
1986-03,64.9
1986-04,64.9
1986-05,65.3
1986-06,65.4
1986-07,65.9
1986-08,66.0
1986-09,66.0
1986-10,66.4
1986-11,66.7
1986-12,66.8
1987-01,67.0
1987-02,67.3
1987-03,67.5
1987-04,67.9
1987-05,68.3
1987-06,68.5
1987-07,68.9
1987-08,69.0
1987-09,69.0
1987-10,69.2
1987-11,69.5
1987-12,69.6
1988-01,69.7
1988-02,70.0
1988-03,70.4
1988-04,70.6
1988-05,71.0
1988-06,71.2
1988-07,71.6
1988-08,71.7
1988-09,71.8
1988-10,72.2
1988-11,72.3
1988-12,72.3
1989-01,72.7
1989-02,73.2
1989-03,73.6
1989-04,73.8
1989-05,74.6
1989-06,74.9
1989-07,75.4
1989-08,75.5
1989-09,75.6
1989-10,75.9
1989-11,76.1
1989-12,76.1
1990-01,76.7
1990-02,77.2
1990-03,77.5
1990-04,77.5
1990-05,77.9
1990-06,78.2
1990-07,78.5
1990-08,78.6
1990-09,78.8
1990-10,79.5
1990-11,80.0
1990-12,79.9
1991-01,82.0
1991-02,82.0
1991-03,82.3
1991-04,82.3
1991-05,82.7
1991-06,83.1
1991-07,83.2
1991-08,83.3
1991-09,83.1
1991-10,83.0
1991-11,83.3
1991-12,82.9
1992-01,83.3
1992-02,83.3
1992-03,83.6
1992-04,83.7
1992-05,83.8
1992-06,84.0
1992-07,84.2
1992-08,84.2
1992-09,84.2
1992-10,84.3
1992-11,84.7
1992-12,84.7
1993-01,85.0
1993-02,85.3
1993-03,85.2
1993-04,85.2
1993-05,85.4
1993-06,85.4
1993-07,85.6
1993-08,85.7
1993-09,85.7
1993-10,85.9
1993-11,86.3
1993-12,86.1
1994-01,86.1
1994-02,85.4
1994-03,85.4
1994-04,85.4
1994-05,85.2
1994-06,85.4
1994-07,85.7
1994-08,85.8
1994-09,85.9
1994-10,85.7
1994-11,86.2
1994-12,86.3
1995-01,86.6
1995-02,87.0
1995-03,87.2
1995-04,87.5
1995-05,87.7
1995-06,87.7
1995-07,87.9
1995-08,87.7
1995-09,87.8
1995-10,87.7
1995-11,88.0
1995-12,87.8
1996-01,88.0
1996-02,88.1
1996-03,88.5
1996-04,88.7
1996-05,89.0
1996-06,89.0
1996-07,89.0
1996-08,89.0
1996-09,89.1
1996-10,89.3
1996-11,89.7
1996-12,89.7
1997-01,89.9
1997-02,90.1
1997-03,90.2
1997-04,90.2
1997-05,90.3
1997-06,90.5
1997-07,90.5
1997-08,90.6
1997-09,90.6
1997-10,90.6
1997-11,90.5
1997-12,90.4
1998-01,90.9
1998-02,91.0
1998-03,91.1
1998-04,91.0
1998-05,91.3
1998-06,91.4
1998-07,91.4
1998-08,91.4
1998-09,91.2
1998-10,91.6
1998-11,91.6
1998-12,91.3
1999-01,91.5
1999-02,91.6
1999-03,92.0
1999-04,92.5
1999-05,92.7
1999-06,92.9
1999-07,93.1
1999-08,93.3
1999-09,93.6
1999-10,93.7
1999-11,93.6
1999-12,93.7
2000-01,93.5
2000-02,94.1
2000-03,94.8
2000-04,94.5
2000-05,94.9
2000-06,95.5
2000-07,95.8
2000-08,95.7
2000-09,96.1
2000-10,96.3
2000-11,96.6
2000-12,96.7
2001-01,96.3
2001-02,96.8
2001-03,97.1
2001-04,97.8
2001-05,98.6
2001-06,98.7
2001-07,98.4
2001-08,98.4
2001-09,98.6
2001-10,98.1
2001-11,97.2
2001-12,97.4
2002-01,97.6
2002-02,98.2
2002-03,98.9
2002-04,99.5
2002-05,99.7
2002-06,99.9
2002-07,100.5
2002-08,100.9
2002-09,100.9
2002-10,101.2
2002-11,101.5
2002-12,101.1
2003-01,102.0
2003-02,102.8
2003-03,103.1
2003-04,102.4
2003-05,102.5
2003-06,102.5
2003-07,102.6
2003-08,102.9
2003-09,103.1
2003-10,102.8
2003-11,103.1
2003-12,103.2
2004-01,103.3
2004-02,103.5
2004-03,103.9
2004-04,104.1
2004-05,105.0
2004-06,105.1
2004-07,105.0
2004-08,104.8
2004-09,105.0
2004-10,105.2
2004-11,105.6
2004-12,105.4
2005-01,105.3
2005-02,105.7
2005-03,106.3
2005-04,106.6
2005-05,106.7
2005-06,106.9
2005-07,107.1
2005-08,107.5
2005-09,108.4
2005-10,107.9
2005-11,107.7
2005-12,107.6
2006-01,108.2
2006-02,108.0
2006-03,108.6
2006-04,109.2
2006-05,109.7
2006-06,109.5
2006-07,109.6
2006-08,109.8
2006-09,109.2
2006-10,109.0
2006-11,109.2
2006-12,109.4
2007-01,109.4
2007-02,110.2
2007-03,111.1
2007-04,111.6
2007-05,112.1
2007-06,111.9
2007-07,112.0
2007-08,111.7
2007-09,111.9
2007-10,111.6
2007-11,111.9
2007-12,112.0
2008-01,111.8
2008-02,112.2
2008-03,112.6
2008-04,113.5
2008-05,114.6
2008-06,115.4
2008-07,115.8
2008-08,115.6
2008-09,115.7
2008-10,114.5
2008-11,114.1
2008-12,113.3
2009-01,113.0
2009-02,113.8
2009-03,114.0
2009-04,113.9
2009-05,114.7
2009-06,115.1
2009-07,114.7
2009-08,114.7
2009-09,114.7
2009-10,114.6
2009-11,115.2
2009-12,114.8
2010-01,115.1
2010-02,115.6
2010-03,115.6
2010-04,116.0
2010-05,116.3
2010-06,116.2
2010-07,116.8
2010-08,116.7
2010-09,116.9
2010-10,117.4
2010-11,117.5
2010-12,117.5
2011-01,117.8
2011-02,118.1
2011-03,119.4
2011-04,119.8
2011-05,120.6
2011-06,119.8
2011-07,120.0
2011-08,120.3
2011-09,120.6
2011-10,120.8
2011-11,120.9
2011-12,120.2
2012-01,120.7
2012-02,121.2
2012-03,121.7
2012-04,122.2
2012-05,122.1
2012-06,121.6
2012-07,121.5
2012-08,121.8
2012-09,122.0
2012-10,122.2
2012-11,121.9
2012-12,121.2
2013-01,121.3
2013-02,122.7
2013-03,122.9
2013-04,122.7
2013-05,123.0
2013-06,123.0
2013-07,123.1
2013-08,123.1
2013-09,123.3
2013-10,123.0
2013-11,123.0
2013-12,122.7
2014-01,123.1
2014-02,124.1
2014-03,124.8
2014-04,125.2
2014-05,125.8
2014-06,125.9
2014-07,125.7
2014-08,125.7
2014-09,125.8
2014-10,125.9
2014-11,125.4
2014-12,124.5
2015-01,124.3
2015-02,125.4
2015-03,126.3
2015-04,126.2
2015-05,126.9
2015-06,127.2
2015-07,127.3
2015-08,127.3
2015-09,127.1
2015-10,127.2
2015-11,127.1
2015-12,126.5
2016-01,126.8
2016-02,127.1
2016-03,127.9
2016-04,128.3
2016-05,128.8
2016-06,129.1
2016-07,128.9
2016-08,128.7
2016-09,128.8
2016-10,129.1
2016-11,128.6
2016-12,128.4
2017-01,129.5
2017-02,129.7
2017-03,129.9
2017-04,130.4
2017-05,130.5
2017-06,130.4
2017-07,130.4
2017-08,130.5
2017-09,130.8
2017-10,130.9
2017-11,131.3
2017-12,130.8
2018-01,131.7
2018-02,132.5
2018-03,132.9
2018-04,133.3
2018-05,133.4
2018-06,133.6
2018-07,134.3
2018-08,134.2
2018-09,133.7
2018-10,134.1
2018-11,133.5
2018-12,133.4
2019-01,133.6
2019-02,134.5
2019-03,135.4
2019-04,136.0
2019-05,136.6
2019-06,136.3
2019-07,137.0
2019-08,136.8
2019-09,136.2
2019-10,136.6
2019-11,136.4
2019-12,136.4
2020-01,136.8
2020-02,137.4
2020-03,136.6
2020-04,135.7
2020-05,136.1
2020-06,137.2
2020-07,137.2
2020-08,137.0
2020-09,136.9
2020-10,137.5
2020-11,137.7
2020-12,137.4
2021-01,138.2
2021-02,138.9
2021-03,139.6
2021-04,140.3
2021-05,141.0
2021-06,141.4
2021-07,142.3
2021-08,142.6
2021-09,142.9
2021-10,143.9
2021-11,144.2
2021-12,144.0
2022-01,145.3
2022-02,146.8
2022-03,148.9
2022-04,149.8
2022-05,151.9
2022-06,152.9
2022-07,153.1
2022-08,152.6
2022-09,152.7
2022-10,153.8
2022-11,154.0
2022-12,153.1
2023-01,153.9
2023-02,154.5
2023-03,155.3
2023-04,156.4
2023-05,157.0
2023-06,157.2
2023-07,158.1
2023-08,158.7
2023-09,158.5
2023-10,158.6
2023-11,158.8
2023-12,158.3
2024-01,158.3
2024-02,158.8
2024-03,159.8
2024-04,160.6
2024-05,161.5
2024-06,161.4
2024-07,162.1
2024-08,161.8
2024-09,161.1
2024-10,161.8
2024-11,161.8
2024-12,161.2
2025-01,161.3
2025-02,163.0
2025-03,163.5