﻿REF_DATE,CNUM
1988-11,3844
1988-12,2670
1989-01,4667
1989-02,2137
1989-03,3310
1989-04,3357
1989-05,2867
1989-06,2969
1989-07,2629
1989-08,2346
1989-09,3174
1989-10,2777
1989-11,3829
1989-12,2909
1990-01,3832
1990-02,2544
1990-03,3194
1990-04,3037
1990-05,3604
1990-06,2683
1990-07,2747
1990-08,2058
1990-09,1513
1990-10,1116
1990-11,1104
1990-12,1056
1991-01,879
1991-02,539
1991-03,530
1991-04,847
1991-05,1975
1991-06,1537
1991-07,1919
1991-08,1251
1991-09,1751
1991-10,2790
1991-11,1730
1991-12,1857
1992-01,1262
1992-02,846
1992-03,1586
1992-04,2111
1992-05,1730
1992-06,2415
1992-07,1558
1992-08,2374
1992-09,2146
1992-10,1690
1992-11,1702
1992-12,2375
1993-01,1577
1993-02,1907
1993-03,2145
1993-04,3147
1993-05,2121
1993-06,2877
1993-07,3028
1993-08,2765
1993-09,2228
1993-10,2500
1993-11,2535
1993-12,3043
1994-01,1761
1994-02,2454
1994-03,2203
1994-04,2249
1994-05,2357
1994-06,3033
1994-07,2409
1994-08,2262
1994-09,2607
1994-10,3248
1994-11,2737
1994-12,2014
1995-01,2653
1995-02,2163
1995-03,1280
1995-04,2109
1995-05,1564
1995-06,1875
1995-07,1999
1995-08,1811
1995-09,2042
1995-10,1530
1995-11,1767
1995-12,2042
1996-01,1001
1996-02,1346
1996-03,1106
1996-04,1188
1996-05,1843
1996-06,2135
1996-07,2190
1996-08,2240
1996-09,2874
1996-10,1485
1996-11,2177
1996-12,2132
1997-01,1420
1997-02,1707
1997-03,1700
1997-04,2376
1997-05,2691
1997-06,2388
1997-07,2156
1997-08,2176
1997-09,2449
1997-10,2485
1997-11,2249
1997-12,2719
1998-01,1534
1998-02,2050
1998-03,2405
1998-04,2978
1998-05,2256
1998-06,2114
1998-07,2077
1998-08,2373
1998-09,1969
1998-10,2317
1998-11,1917
1998-12,2338
1999-01,1663
1999-02,1801
1999-03,2640
1999-04,2567
1999-05,2726
1999-06,2208
1999-07,1711
1999-08,2636
1999-09,2560
1999-10,2472
1999-11,3066
1999-12,1883
2000-01,990
2000-02,2951
2000-03,1785
2000-04,2546
2000-05,2411
2000-06,1486
2000-07,3070
2000-08,1714
2000-09,2700
2000-10,3522
2000-11,2549
2000-12,1773
2001-01,2593
2001-02,1864
2001-03,1907
2001-04,3164
2001-05,3141
2001-06,3310
2001-07,2101
2001-08,3072
2001-09,2156
2001-10,2640
2001-11,2837
2001-12,2404
2002-01,3358
2002-02,1911
2002-03,2464
2002-04,2917
2002-05,3061
2002-06,2796
2002-07,3250
2002-08,3514
2002-09,2666
2002-10,3355
2002-11,4741
2002-12,2032
2003-01,1787
2003-02,5184
2003-03,3528
2003-04,3882
2003-05,3205
2003-06,3580
2003-07,3461
2003-08,4970
2003-09,4568
2003-10,6855
2003-11,2890
2003-12,3696
2004-01,3231
2004-02,2788
2004-03,3945
2004-04,6091
2004-05,3360
2004-06,5798
2004-07,3453
2004-08,7194
2004-09,4575
2004-10,5766
2004-11,6059
2004-12,4574
2005-01,2712
2005-02,3156
2005-03,4217
2005-04,5364
2005-05,4623
2005-06,5161
2005-07,7693
2005-08,4453
2005-09,5680
2005-10,3975
2005-11,5320
2005-12,4894
2006-01,3414
2006-02,3425
2006-03,6556
2006-04,5339
2006-05,4742
2006-06,5890
2006-07,5924
2006-08,3767
2006-09,3450
2006-10,5215
2006-11,6032
2006-12,3875
2007-01,4244
2007-02,3290
2007-03,4548
2007-04,4875
2007-05,5492
2007-06,4429
2007-07,4154
2007-08,4427
2007-09,8173
2007-10,6253
2007-11,5729
2007-12,2542
2008-01,4965
2008-02,6432
2008-03,8021
2008-04,6693
2008-05,6346
2008-06,6182
2008-07,4271
2008-08,6509
2008-09,7131
2008-10,6728
2008-11,3886
2008-12,3110
2009-01,2393
2009-02,2126
2009-03,3936
2009-04,1711
2009-05,2207
2009-06,2844
2009-07,2151
2009-08,3485
2009-09,3060
2009-10,3493
2009-11,3278
2009-12,2630
2010-01,2387
2010-02,2435
2010-03,2879
2010-04,4550
2010-05,4001
2010-06,3536
2010-07,4587
2010-08,4743
2010-09,4829
2010-10,3733
2010-11,5496
2010-12,3771
2011-01,4037
2011-02,2891
2011-03,4833
2011-04,5105
2011-05,5547
2011-06,5172
2011-07,5417
2011-08,4212
2011-09,5415
2011-10,6722
2011-11,5250
2011-12,5368
2012-01,5681
2012-02,5017
2012-03,6049
2012-04,8747
2012-05,6540
2012-06,6395
2012-07,6471
2012-08,7018
2012-09,6114
2012-10,6586
2012-11,5807
2012-12,5647
2013-01,3141
2013-02,4807
2013-03,4150
2013-04,4719
2013-05,4964
2013-06,5874
2013-07,5822
2013-08,5051
2013-09,5558
2013-10,5808
2013-11,5792
2013-12,5147
2014-01,4883
2014-02,5281
2014-03,4144
2014-04,5713
2014-05,5981
2014-06,5802
2014-07,5187
2014-08,4971
2014-09,4935
2014-10,4286
2014-11,4998
2014-12,4905
2015-01,4833
2015-02,3742
2015-03,7262
2015-04,5023
2015-05,5634
2015-06,5754
2015-07,4444
2015-08,7050
2015-09,7548
2015-10,5188
2015-11,6763
2015-12,3544
2016-01,3274
2016-02,5352
2016-03,5312
2016-04,5305
2016-05,4486
2016-06,6591
2016-07,5801
2016-08,5518
2016-09,4777
2016-10,5211
2016-11,4389
2016-12,4876
2017-01,5647
2017-02,4693
2017-03,5765
2017-04,5538
2017-05,4778
2017-06,6053
2017-07,5456
2017-08,6133
2017-09,5099
2017-10,6914
2017-11,7732
2017-12,5352
2018-01,4670
2018-02,7208
2018-03,5837
2018-04,6030
2018-05,4951
2018-06,6964
2018-07,4970
2018-08,5219
2018-09,5507
2018-10,6256
2018-11,6477
2018-12,6292
2019-01,5881
2019-02,4031
2019-03,5200
2019-04,7072
2019-05,5320
2019-06,6857
2019-07,5555
2019-08,4885
2019-09,6096
2019-10,5466
2019-11,4429
2019-12,5964
2020-01,2806
2020-02,4021
2020-03,4196
2020-04,5444
2020-05,4703
2020-06,5390
2020-07,6745
2020-08,7382
2020-09,5250
2020-10,5022
2020-11,5015
2020-12,4830
2021-01,5596
2021-02,4996
2021-03,7880
2021-04,5733
2021-05,6804
2021-06,6892
2021-07,6821
2021-08,6528
2021-09,5874
2021-10,4303
2021-11,7065
2021-12,5189
2022-01,3417
2022-02,6036
2022-03,4009
2022-04,6070
2022-05,5738
2022-06,7318
2022-07,5193
2022-08,6214
2022-09,8777
2022-10,5506
2022-11,7130
2022-12,6754
2023-01,5083
2023-02,4909
2023-03,4340
2023-04,8232
2023-05,3547
2023-06,9622
2023-07,8202
2023-08,7175
2023-09,6708
2023-10,8311
2023-11,4292
2023-12,5046
2024-01,5868
2024-02,6482
2024-03,5856
2024-04,5674
2024-05,6233
2024-06,4078
2024-07,6431
2024-08,3323
2024-09,4695
2024-10,5462
2024-11,5767
2024-12,3177
2025-01,4080
2025-02,3067
2025-03,3187