﻿REF_DATE,URATE
1976-11,10.2
1976-12,10.8
1977-01,12.5
1977-02,12.9
1977-03,12.6
1977-04,12.3
1977-05,
1977-06,
1977-07,
1977-08,
1977-09,11.1
1977-10,10.9
1977-11,11.6
1977-12,11.9
1978-01,13.5
1978-02,13.5
1978-03,13.6
1978-04,12.8
1978-05,
1978-06,
1978-07,
1978-08,
1978-09,11.1
1978-10,10.4
1978-11,11.3
1978-12,11.7
1979-01,13.4
1979-02,13.1
1979-03,12.8
1979-04,12.5
1979-05,
1979-06,
1979-07,
1979-08,
1979-09,9.5
1979-10,9.8
1979-11,10.0
1979-12,10.1
1980-01,12.2
1980-02,11.8
1980-03,12.3
1980-04,11.8
1980-05,
1980-06,
1980-07,
1980-08,
1980-09,9.8
1980-10,9.9
1980-11,10.0
1980-12,10.5
1981-01,12.0
1981-02,11.7
1981-03,12.4
1981-04,10.9
1981-05,
1981-06,
1981-07,
1981-08,
1981-09,10.9
1981-10,11.3
1981-11,11.9
1981-12,12.3
1982-01,13.9
1982-02,14.1
1982-03,15.2
1982-04,15.1
1982-05,
1982-06,
1982-07,
1982-08,
1982-09,16.1
1982-10,16.8
1982-11,17.3
1982-12,18.0
1983-01,19.3
1983-02,19.2
1983-03,19.8
1983-04,18.7
1983-05,
1983-06,
1983-07,
1983-08,
1983-09,14.8
1983-10,14.8
1983-11,15.3
1983-12,15.7
1984-01,17.2
1984-02,17.2
1984-03,17.7
1984-04,17.0
1984-05,
1984-06,
1984-07,
1984-08,
1984-09,15.0
1984-10,14.5
1984-11,14.8
1984-12,14.3
1985-01,15.7
1985-02,15.7
1985-03,16.3
1985-04,15.3
1985-05,
1985-06,
1985-07,
1985-08,
1985-09,13.0
1985-10,13.2
1985-11,13.6
1985-12,13.4
1986-01,15.2
1986-02,15.3
1986-03,15.2
1986-04,14.0
1986-05,
1986-06,
1986-07,
1986-08,
1986-09,12.0
1986-10,11.9
1986-11,12.3
1986-12,12.5
1987-01,14.3
1987-02,14.0
1987-03,14.3
1987-04,12.8
1987-05,
1987-06,
1987-07,
1987-08,
1987-09,10.0
1987-10,10.2
1987-11,10.5
1987-12,10.4
1988-01,11.7
1988-02,11.1
1988-03,11.8
1988-04,10.7
1988-05,
1988-06,
1988-07,
1988-08,
1988-09,9.8
1988-10,9.7
1988-11,10.2
1988-12,9.8
1989-01,11.3
1989-02,11.1
1989-03,11.0
1989-04,10.7
1989-05,
1989-06,
1989-07,
1989-08,
1989-09,8.8
1989-10,8.8
1989-11,9.9
1989-12,9.8
1990-01,11.7
1990-02,11.2
1990-03,10.7
1990-04,10.6
1990-05,
1990-06,
1990-07,
1990-08,
1990-09,10.6
1990-10,11.4
1990-11,12.4
1990-12,12.6
1991-01,15.0
1991-02,15.3
1991-03,16.0
1991-04,14.9
1991-05,
1991-06,
1991-07,
1991-08,
1991-09,13.3
1991-10,13.2
1991-11,14.0
1991-12,13.4
1992-01,15.6
1992-02,16.0
1992-03,16.8
1992-04,15.3
1992-05,
1992-06,
1992-07,
1992-08,
1992-09,14.2
1992-10,14.0
1992-11,15.6
1992-12,14.9
1993-01,15.9
1993-02,15.6
1993-03,16.9
1993-04,16.2
1993-05,
1993-06,
1993-07,
1993-08,
1993-09,14.0
1993-10,14.0
1993-11,14.6
1993-12,14.2
1994-01,16.5
1994-02,16.1
1994-03,15.6
1994-04,15.5
1994-05,
1994-06,
1994-07,
1994-08,
1994-09,12.4
1994-10,12.7
1994-11,12.4
1994-12,12.3
1995-01,13.9
1995-02,13.7
1995-03,14.1
1995-04,13.4
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,12.0
1995-10,12.1
1995-11,12.5
1995-12,12.2
1996-01,14.2
1996-02,14.0
1996-03,13.9
1996-04,13.0
1996-05,
1996-06,
1996-07,
1996-08,
1996-09,12.7
1996-10,12.8
1996-11,13.5
1996-12,12.5
1997-01,14.9
1997-02,14.6
1997-03,14.4
1997-04,14.2
1997-05,
1997-06,
1997-07,
1997-08,
1997-09,12.1
1997-10,12.0
1997-11,12.4
1997-12,11.3
1998-01,14.3
1998-02,13.5
1998-03,13.3
1998-04,12.8
1998-05,
1998-06,
1998-07,
1998-08,
1998-09,11.5
1998-10,11.1
1998-11,11.3
1998-12,10.8
1999-01,12.4
1999-02,12.3
1999-03,12.3
1999-04,12.7
1999-05,
1999-06,
1999-07,
1999-08,
1999-09,10.6
1999-10,10.2
1999-11,10.1
1999-12,9.4
2000-01,10.9
2000-02,11.3
2000-03,11.2
2000-04,10.8
2000-05,
2000-06,
2000-07,
2000-08,
2000-09,9.7
2000-10,9.6
2000-11,9.6
2000-12,9.1
2001-01,10.6
2001-02,11.2
2001-03,10.9
2001-04,11.2
2001-05,
2001-06,
2001-07,
2001-08,
2001-09,10.4
2001-10,10.1
2001-11,10.8
2001-12,10.8
2002-01,12.5
2002-02,12.3
2002-03,12.2
2002-04,12.3
2002-05,
2002-06,
2002-07,
2002-08,
2002-09,10.6
2002-10,10.4
2002-11,10.5
2002-12,9.9
2003-01,11.7
2003-02,11.4
2003-03,11.0
2003-04,11.3
2003-05,
2003-06,
2003-07,
2003-08,
2003-09,11.5
2003-10,10.5
2003-11,10.5
2003-12,10.0
2004-01,11.9
2004-02,12.0
2004-03,12.1
2004-04,11.7
2004-05,
2004-06,
2004-07,
2004-08,
2004-09,10.6
2004-10,10.5
2004-11,10.3
2004-12,9.8
2005-01,11.3
2005-02,10.9
2005-03,10.7
2005-04,10.5
2005-05,
2005-06,
2005-07,
2005-08,
2005-09,10.1
2005-10,9.6
2005-11,8.6
2005-12,8.9
2006-01,10.8
2006-02,9.9
2006-03,9.8
2006-04,9.9
2006-05,
2006-06,
2006-07,
2006-08,
2006-09,9.8
2006-10,8.8
2006-11,8.9
2006-12,8.3
2007-01,10.2
2007-02,9.4
2007-03,9.6
2007-04,9.7
2007-05,
2007-06,
2007-07,
2007-08,
2007-09,9.4
2007-10,8.8
2007-11,9.1
2007-12,8.3
2008-01,9.8
2008-02,9.5
2008-03,9.4
2008-04,9.7
2008-05,
2008-06,
2008-07,
2008-08,
2008-09,8.9
2008-10,9.0
2008-11,9.4
2008-12,9.2
2009-01,11.4
2009-02,12.2
2009-03,12.6
2009-04,12.8
2009-05,
2009-06,
2009-07,
2009-08,
2009-09,11.8
2009-10,11.8
2009-11,12.5
2009-12,11.8
2010-01,13.2
2010-02,12.9
2010-03,13.2
2010-04,12.8
2010-05,
2010-06,
2010-07,
2010-08,
2010-09,11.9
2010-10,11.5
2010-11,10.8
2010-12,10.3
2011-01,12.2
2011-02,12.0
2011-03,12.2
2011-04,12.1
2011-05,
2011-06,
2011-07,
2011-08,
2011-09,11.4
2011-10,11.3
2011-11,11.0
2011-12,10.0
2012-01,12.3
2012-02,12.1
2012-03,11.8
2012-04,11.8
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,11.3
2012-10,10.6
2012-11,10.5
2012-12,9.9
2013-01,11.2
2013-02,10.9
2013-03,11.7
2013-04,11.7
2013-05,
2013-06,
2013-07,
2013-08,
2013-09,9.9
2013-10,10.4
2013-11,10.2
2013-12,10.3
2014-01,11.8
2014-02,11.7
2014-03,11.6
2014-04,11.3
2014-05,
2014-06,
2014-07,
2014-08,
2014-09,10.7
2014-10,9.7
2014-11,9.8
2014-12,9.4
2015-01,11.0
2015-02,11.4
2015-03,11.6
2015-04,11.4
2015-05,
2015-06,
2015-07,
2015-08,
2015-09,10.0
2015-10,9.9
2015-11,9.5
2015-12,9.8
2016-01,11.3
2016-02,11.3
2016-03,11.4
2016-04,11.5
2016-05,
2016-06,
2016-07,
2016-08,
2016-09,10.0
2016-10,9.9
2016-11,9.3
2016-12,8.9
2017-01,11.0
2017-02,10.3
2017-03,10.3
2017-04,10.0
2017-05,
2017-06,
2017-07,
2017-08,
2017-09,8.7
2017-10,8.8
2017-11,8.3
2017-12,8.0
2018-01,9.1
2018-02,9.2
2018-03,9.1
2018-04,9.0
2018-05,
2018-06,
2018-07,
2018-08,
2018-09,8.5
2018-10,7.7
2018-11,7.7
2018-12,7.3
2019-01,8.9
2019-02,8.5
2019-03,9.0
2019-04,8.7
2019-05,
2019-06,
2019-07,
2019-08,
2019-09,8.6
2019-10,8.0
2019-11,8.6
2019-12,7.4
2020-01,8.8
2020-02,8.9
2020-03,15.1
2020-04,22.6
2020-05,
2020-06,
2020-07,
2020-08,
2020-09,14.1
2020-10,13.2
2020-11,12.7
2020-12,12.4
2021-01,15.8
2021-02,13.8
2021-03,12.2
2021-04,12.9
2021-05,
2021-06,
2021-07,
2021-08,
2021-09,9.3
2021-10,7.9
2021-11,7.7
2021-12,7.5
2022-01,10.7
2022-02,8.5
2022-03,8.0
2022-04,8.3
2022-05,
2022-06,
2022-07,
2022-08,
2022-09,8.2
2022-10,7.7
2022-11,7.6
2022-12,6.6
2023-01,8.3
2023-02,8.0
2023-03,8.0
2023-04,8.0
2023-05,
2023-06,
2023-07,
2023-08,
2023-09,8.9
2023-10,8.8
2023-11,8.8
2023-12,8.1
2024-01,9.7
2024-02,9.8
2024-03,10.9
2024-04,10.6
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,10.0
2024-10,9.4
2024-11,10.9
2024-12,10.0
2025-01,11.6
2025-02,10.5
2025-03,11.4